bodyweight,timepoint,t0,t15,t30,t60,t90,t120,sex
37.1,4,117,469,516,254,198,178,M
29.3,4,95,396,333,232,189,165,M
35.8,4,115,371,487,326,267,209,M
25.7,4,80,223,232,180,201,164,M
41.2,4,124,391,432,298,231,188,M
29.4,4,85,290,375,245,187,167,M
34.8,4,104,296,464,318,260,152,M
31.7,4,110,338,503,366,238,179,M
35.2,4,114,313,506,406,251,226,M
34.5,4,105,178,203,143,161,133,M
30.7,4,88,332,440,279,216,154,M
38.4,4,124,336,419,311,235,195,M
28.5,4,110,334,383,292,223,179,M
28.2,4,97,358,371,309,263,170,M
25,4,80,267,226,157,131,111,M
30.5,4,87,364,324,220,152,138,M
34.9,4,87,422,517,483,304,219,M
25.7,4,89,342,337,246,151,142,M
38.1,4,119,417,434,314,233,217,M
24.8,4,76,336,432,332,206,150,M
33.1,4,118,416,504,395,269,232,M
30.1,4,85,324,350,240,198,178,M
39.6,4,106,392,468,345,270,214,M
26.5,4,76,412,413,263,198,152,M
39.3,4,118,357,440,367,303,267,M
31.8,4,101,330,347,276,226,196,M
41.2,4,121,440,538,446,337,274,M
28.4,4,72,257,259,213,158,149,M
24.6,4,83,372,475,378,245,210,M
35.4,4,121,401,572,431,315,254,M
32.4,4,87,281,389,315,240,219,M